WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package C:\Users\mcuom\AppData\Local\nvim-data\lazy\typescript.nvim\package.json does not contribute any snippets, skipping it
